Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	-1	1	0
2	0.002	-1	1	0
3	0.003	-1	1	0
4	0.004	-1	1	0
5	0.005	0	1	0
6	0.006	1	1	0
7	0.007	1	1	0
8	0.009	1	1	0
9	0.01	2	1	0
10	0.011	2	1	0
11	0.012	2	1	0
12	0.013	2	1	0
13	0.014	2	1	0
14	0.015	2	1	0
15	0.016	2	1	0
16	0.018	2	1	0
17	0.019	2	1	0
18	0.02	2	1	0
19	0.021	2	1	0
20	0.022	2	1	0
21	0.023	2	1	0
22	0.024	2	1	0
23	0.025	2	1	0
24	0.027	2	1	0
25	0.028	2	1	0
26	0.029	2	1	0
27	0.03	2	1	0
28	0.031	2	1	0
29	0.032	2	1	0
30	0.033	2	1	0
31	0.034	2	1	0
32	0.036	2	1	0
33	0.037	2	1	0
34	0.038	2	1	0
35	0.039	2	1	0
36	0.04	2	1	0
37	0.041	2	1	0
38	0.042	2	1	0
39	0.043	2	1	0
40	0.045	2	1	0
41	0.046	2	1	0
42	0.047	2	1	0
43	0.048	2	1	0
44	0.049	2	1	0
45	0.05	2	1	0
46	0.051	2	1	0
47	0.052	2	1	0
48	0.054	2	1	0
49	0.055	2	1	0
50	0.056	2	1	0
51	0.057	2	1	0
52	0.058	2	1	0
53	0.059	2	1	0
54	0.06	2	1	0
55	0.061	2	1	0
56	0.063	2	1	0
57	0.064	2	1	0
58	0.065	2	1	0
59	0.066	2	1	0
60	0.067	2	1	0
61	0.068	2	1	0
62	0.069	2	1	0
63	0.07	2	1	0
64	0.072	2	1	0
65	0.073	2	1	0
66	0.074	2	1	0
67	0.075	2	1	0
68	0.076	2	1	0
69	0.077	2	2	0
70	0.078	2	2	0
71	0.08	2	2	0
72	0.081	2	2	0
73	0.082	2	2	0
74	0.083	2	2	0
75	0.084	2	2	0
76	0.085	2	2	0
77	0.086	2	2	0
78	0.087	2	2	0
79	0.089	2	2	0
80	0.09	2	2	0
81	0.091	2	2	0
82	0.092	2	2	0
83	0.093	2	2	0
84	0.094	2	2	0
85	0.095	2	2	0
86	0.096	2	2	0
87	0.098	2	2	0
88	0.099	2	2	0
89	0.1	2	2	0
90	0.101	2	2	0
91	0.102	2	2	0
92	0.103	2	2	0
93	0.104	2	2	0
94	0.105	2	2	0
95	0.107	2	2	0
96	0.108	2	2	0
97	0.109	2	2	0
98	0.11	2	2	0
99	0.111	2	2	0
100	0.112	2	2	0
101	0.113	2	2	0
102	0.114	2	2	0
103	0.116	2	2	0
104	0.117	2	2	0
105	0.118	2	2	0
106	0.119	2	2	0
107	0.12	2	2	0
108	0.121	2	2	0
109	0.122	2	2	0
110	0.123	2	2	0
111	0.125	2	2	0
112	0.126	2	2	0
113	0.127	2	2	0
114	0.128	2	2	0
115	0.129	2	2	0
116	0.13	2	2	0
117	0.131	2	2	0
118	0.132	2	2	0
119	0.134	2	2	0
120	0.135	2	2	0
121	0.136	2	2	0
122	0.137	2	2	0
123	0.138	2	2	0
124	0.139	2	2	0
125	0.14	2	2	0
126	0.141	2	2	0
127	0.143	2	2	0
128	0.144	2	2	0
129	0.145	2	2	0
130	0.146	2	2	0
131	0.147	2	2	0
132	0.148	2	2	0
133	0.149	2	2	0
134	0.151	2	2	0
135	0.152	2	2	0
136	0.153	2	2	0
137	0.154	2	2	0
138	0.155	2	2	0
139	0.156	2	2	0
140	0.157	2	2	0
141	0.158	2	2	0
142	0.16	2	2	0
143	0.161	2	2	0
144	0.162	2	2	0
145	0.163	2	2	0
146	0.164	2	2	0
147	0.165	2	2	0
148	0.166	2	2	0
149	0.167	2	2	0
150	0.169	2	2	0
151	0.17	2	2	0
152	0.171	2	2	0
153	0.172	2	2	0
154	0.173	2	2	0
155	0.174	2	2	0
156	0.175	2	2	0
157	0.176	2	2	0
158	0.178	2	2	0
159	0.179	2	2	0
160	0.18	2	2	0
161	0.181	2	2	0
162	0.182	2	2	0
163	0.183	2	2	0
164	0.184	2	2	0
165	0.185	2	2	0
166	0.187	2	2	0
167	0.188	2	2	0
168	0.189	2	2	0
169	0.19	2	2	0
170	0.191	2	2	0
171	0.192	2	2	0
172	0.193	2	2	0
173	0.194	2	2	0
174	0.196	2	2	0
175	0.197	2	2	0
176	0.198	2	2	0
177	0.199	2	2	0
178	0.2	2	2	0
179	0.201	2	2	0
180	0.202	2	2	0
181	0.203	2	2	0
182	0.205	2	2	0
183	0.206	2	2	0
184	0.207	2	2	0
185	0.208	2	2	0
186	0.209	2	2	0
187	0.21	2	2	0
188	0.211	2	2	0
189	0.212	2	2	0
190	0.214	2	2	0
191	0.215	2	2	0
192	0.216	2	2	0
193	0.217	2	2	0
194	0.218	2	2	0
195	0.219	2	2	0
196	0.22	2	2	0
197	0.222	2	2	0
198	0.223	2	2	0
199	0.224	2	2	0
200	0.225	2	2	0
201	0.226	2	2	0
202	0.227	2	2	0
203	0.228	2	2	0
204	0.229	2	2	0
205	0.231	2	2	0
206	0.232	2	2	0
207	0.233	2	2	0
208	0.234	2	2	0
209	0.235	2	2	0
210	0.236	2	2	0
211	0.237	2	2	0
212	0.238	2	2	0
213	0.24	2	2	0
214	0.241	2	2	0
215	0.242	2	2	0
216	0.243	2	2	0
217	0.244	2	2	0
218	0.245	2	2	0
219	0.246	2	2	0
220	0.247	2	2	0
221	0.249	2	2	0
222	0.25	2	2	0
223	0.251	2	2	0
224	0.252	2	2	0
225	0.253	2	2	0
226	0.254	2	2	0
227	0.255	2	2	0
228	0.256	2	2	0
229	0.258	2	2	0
230	0.259	2	2	0
231	0.26	2	2	0
232	0.261	2	2	0
233	0.262	2	2	0
234	0.263	2	2	0
235	0.264	2	2	0
236	0.265	2	2	0
237	0.267	2	2	0
238	0.268	2	2	0
239	0.269	2	2	0
240	0.27	2	2	0
241	0.271	2	2	0
242	0.272	2	2	0
243	0.273	2	2	0
244	0.274	2	2	0
245	0.276	2	2	0
246	0.277	2	2	0
247	0.278	2	2	0
248	0.279	2	2	0
249	0.28	2	2	0
250	0.281	2	2	0
251	0.282	2	2	0
252	0.283	2	2	0
253	0.285	2	2	0
254	0.286	2	2	0
255	0.287	2	2	0
256	0.288	2	2	0
257	0.289	2	2	0
258	0.29	2	2	0
259	0.291	2	2	0
260	0.292	2	2	0
261	0.294	2	2	0
262	0.295	2	2	0
263	0.296	2	2	0
264	0.297	2	2	0
265	0.298	2	2	0
266	0.299	2	2	0
267	0.3	2	2	0
268	0.302	2	2	0
269	0.303	2	2	0
270	0.304	2	2	0
271	0.305	2	2	0
272	0.306	2	2	0
273	0.307	2	2	0
274	0.308	2	2	0
275	0.309	2	2	0
276	0.311	2	2	0
277	0.312	2	2	0
278	0.313	2	2	0
279	0.314	2	2	0
280	0.315	2	2	0
281	0.316	2	2	0
282	0.317	2	2	0
283	0.318	2	2	0
284	0.32	2	2	0
285	0.321	2	2	0
286	0.322	2	2	0
287	0.323	2	2	0
288	0.324	2	2	0
289	0.325	2	2	0
290	0.326	2	2	0
291	0.327	2	2	0
292	0.329	2	2	0
293	0.33	2	2	0
294	0.331	2	2	0
295	0.332	2	2	0
296	0.333	2	2	0
297	0.334	2	2	0
298	0.335	2	2	0
299	0.336	2	2	0
300	0.338	2	2	0
301	0.339	2	2	0
302	0.34	2	2	0
303	0.341	2	2	0
304	0.342	2	2	0
305	0.343	2	2	0
306	0.344	2	2	0
307	0.345	2	2	0
308	0.347	2	2	0
309	0.348	2	2	0
310	0.349	2	2	0
311	0.35	2	2	0
312	0.351	2	2	0
313	0.352	2	2	0
314	0.353	2	3	0
315	0.354	2	3	0
316	0.356	2	3	0
317	0.357	2	3	0
318	0.358	2	3	0
319	0.359	2	3	0
320	0.36	2	3	0
321	0.361	2	3	0
322	0.362	2	3	0
323	0.363	2	3	0
324	0.365	2	3	0
325	0.366	2	3	0
326	0.367	2	3	0
327	0.368	2	3	0
328	0.369	2	3	0
329	0.37	2	3	0
330	0.371	2	3	0
331	0.373	2	3	0
332	0.374	2	3	0
333	0.375	2	3	0
334	0.376	2	3	0
335	0.377	2	3	0
336	0.378	2	3	0
337	0.379	2	3	0
338	0.38	2	3	0
339	0.382	2	3	0
340	0.383	2	3	0
341	0.384	2	3	0
342	0.385	2	3	0
343	0.386	2	3	0
344	0.387	2	3	0
345	0.388	2	3	0
346	0.389	2	3	0
347	0.391	2	3	0
348	0.392	2	3	0
349	0.393	2	3	0
350	0.394	2	3	0
351	0.395	2	3	0
352	0.396	2	3	0
353	0.397	2	3	0
354	0.398	2	3	0
355	0.4	2	3	0
356	0.401	2	3	0
357	0.402	2	3	0
358	0.403	2	3	0
359	0.404	2	3	0
360	0.405	2	3	0
361	0.406	2	3	0
362	0.407	2	3	0
363	0.409	2	3	0
364	0.41	2	3	0
365	0.411	2	3	0
366	0.412	2	3	0
367	0.413	2	3	0
368	0.414	2	3	0
369	0.415	2	3	0
370	0.416	2	3	0
371	0.418	2	3	0
372	0.419	2	3	0
373	0.42	2	3	0
374	0.421	2	3	0
375	0.422	2	3	0
376	0.423	2	3	0
377	0.424	2	3	0
378	0.425	2	3	0
379	0.427	2	3	0
380	0.428	2	3	0
381	0.429	2	3	0
382	0.43	2	3	0
383	0.431	2	3	0
384	0.432	2	3	0
385	0.433	2	3	0
386	0.434	2	3	0
387	0.436	2	3	0
388	0.437	2	3	0
389	0.438	2	3	0
390	0.439	2	3	0
391	0.44	2	3	0
392	0.441	2	3	0
393	0.442	2	3	0
394	0.444	2	3	0
395	0.445	2	3	0
396	0.446	2	3	0
397	0.447	2	3	0
398	0.448	2	3	0
399	0.449	2	3	0
400	0.45	2	3	0
401	0.451	2	3	0
402	0.453	2	3	0
403	0.454	2	3	0
404	0.455	2	3	0
405	0.456	2	3	0
406	0.457	2	3	0
407	0.458	2	3	0
408	0.459	2	3	0
409	0.46	2	3	0
410	0.462	2	3	0
411	0.463	2	3	0
412	0.464	2	3	0
413	0.465	2	3	0
414	0.466	2	3	0
415	0.467	2	4	0
416	0.468	2	4	0
417	0.469	2	4	0
418	0.471	2	4	0
419	0.472	2	4	0
420	0.473	2	4	0
421	0.474	2	4	0
422	0.475	2	4	0
423	0.476	2	4	0
424	0.477	2	4	0
425	0.478	2	4	0
426	0.48	2	4	0
427	0.481	2	4	0
428	0.482	2	4	0
429	0.483	2	4	0
430	0.484	2	4	0
431	0.485	2	4	0
432	0.486	2	4	0
433	0.487	2	4	0
434	0.489	2	4	0
435	0.49	2	4	0
436	0.491	2	4	0
437	0.492	2	4	0
438	0.493	2	4	0
439	0.494	2	4	0
440	0.495	2	4	0
441	0.496	2	4	0
442	0.498	2	4	0
443	0.499	2	4	0
444	0.5	2	4	0
445	0.501	2	4	0
446	0.502	2	4	0
447	0.503	2	4	0
448	0.504	2	4	0
449	0.505	2	4	0
450	0.507	2	4	0
451	0.508	2	4	0
452	0.509	2	4	0
453	0.51	2	4	0
454	0.511	2	4	0
455	0.512	2	4	0
456	0.513	2	4	0
