Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	0	0	0
2	0.002	0	0	0
3	0.003	1	0	0
4	0.004	2	0	0
5	0.005	3	0	0
6	0.006	3	0	0
7	0.007	3	0	0
8	0.009	4	0	0
9	0.01	4	0	0
10	0.011	4	0	0
11	0.012	4	0	0
12	0.013	4	0	0
13	0.014	4	0	0
14	0.015	4	0	0
15	0.016	4	0	0
16	0.018	4	0	0
17	0.019	4	0	0
18	0.02	5	0	0
19	0.021	5	0	0
20	0.022	5	0	0
21	0.023	5	0	0
22	0.024	5	0	0
23	0.025	5	0	0
24	0.027	5	0	0
25	0.028	5	0	0
26	0.029	6	0	0
27	0.03	6	0	0
28	0.031	6	0	0
29	0.032	6	0	0
30	0.033	6	0	0
31	0.034	6	0	0
32	0.036	6	0	0
33	0.037	6	0	0
34	0.038	6	0	0
35	0.039	6	0	0
36	0.04	6	0	0
37	0.041	6	0	0
38	0.042	6	0	0
39	0.043	6	0	0
40	0.045	6	0	0
41	0.046	6	0	0
42	0.047	6	0	0
43	0.048	6	0	0
44	0.049	6	0	0
45	0.05	6	0	0
46	0.051	6	0	0
47	0.052	6	0	0
48	0.054	5	0	0
49	0.055	5	0	0
50	0.056	5	0	0
51	0.057	5	0	0
52	0.058	5	0	0
53	0.059	5	0	0
54	0.06	5	0	0
55	0.061	5	0	0
56	0.063	5	0	0
57	0.064	5	0	0
58	0.065	4	0	0
59	0.066	4	0	0
60	0.067	4	0	0
61	0.068	4	0	0
62	0.069	4	0	0
63	0.07	4	0	0
64	0.072	4	0	0
65	0.073	4	0	0
66	0.074	4	0	0
67	0.075	4	0	0
68	0.076	4	0	0
69	0.077	4	0	0
70	0.078	4	0	0
71	0.08	4	0	0
72	0.081	4	0	0
73	0.082	4	0	0
74	0.083	4	0	0
75	0.084	4	0	0
76	0.085	4	0	0
77	0.086	4	0	0
78	0.087	4	0	0
79	0.089	4	0	0
80	0.09	4	0	0
81	0.091	4	0	0
82	0.092	4	0	0
83	0.093	4	0	0
84	0.094	4	0	0
85	0.095	4	0	0
86	0.096	4	0	0
87	0.098	4	0	0
88	0.099	4	0	0
89	0.1	4	0	0
90	0.101	4	0	0
91	0.102	4	0	0
92	0.103	4	0	0
93	0.104	4	0	0
94	0.105	4	0	0
95	0.107	4	0	0
96	0.108	4	0	0
97	0.109	4	0	0
98	0.11	4	0	0
99	0.111	4	0	0
100	0.112	4	0	0
101	0.113	4	0	0
102	0.114	4	0	0
103	0.116	4	0	0
104	0.117	4	0	0
105	0.118	4	0	0
106	0.119	4	0	0
107	0.12	4	0	0
108	0.121	4	0	0
109	0.122	4	0	0
110	0.123	4	0	0
111	0.125	4	0	0
112	0.126	4	0	0
113	0.127	4	0	0
114	0.128	4	0	0
115	0.129	4	0	0
116	0.13	4	0	0
117	0.131	4	0	0
118	0.132	4	0	0
119	0.134	4	0	0
120	0.135	4	0	0
121	0.136	4	0	0
122	0.137	4	0	0
123	0.138	4	0	0
124	0.139	4	0	0
125	0.14	4	0	0
126	0.141	4	0	0
127	0.143	4	0	0
128	0.144	4	0	0
129	0.145	4	0	0
130	0.146	4	0	0
131	0.147	4	0	0
132	0.148	4	0	0
133	0.149	4	0	0
134	0.151	4	0	0
135	0.152	4	0	0
136	0.153	4	0	0
137	0.154	4	0	0
138	0.155	4	0	0
139	0.156	4	0	0
140	0.157	4	0	0
141	0.158	4	0	0
142	0.16	4	0	0
143	0.161	4	0	0
144	0.162	4	0	0
145	0.163	4	0	0
146	0.164	4	0	0
147	0.165	4	0	0
148	0.166	4	0	0
149	0.167	4	0	0
150	0.169	4	0	0
151	0.17	4	0	0
152	0.171	4	0	0
153	0.172	4	0	0
154	0.173	4	0	0
155	0.174	4	0	0
156	0.175	4	0	0
157	0.176	4	0	0
158	0.178	4	0	0
159	0.179	4	0	0
160	0.18	4	0	0
161	0.181	4	0	0
162	0.182	4	0	0
163	0.183	4	0	0
164	0.184	4	0	0
165	0.185	4	0	0
166	0.187	4	0	0
167	0.188	4	0	0
168	0.189	4	0	0
169	0.19	4	0	0
170	0.191	4	0	0
171	0.192	4	0	0
172	0.193	4	0	0
173	0.194	4	0	0
174	0.196	4	0	0
175	0.197	4	0	0
176	0.198	4	0	0
177	0.199	4	0	0
178	0.2	4	0	0
179	0.201	4	0	0
180	0.202	4	0	0
181	0.203	4	0	0
182	0.205	4	0	0
183	0.206	4	0	0
184	0.207	4	0	0
185	0.208	4	0	0
186	0.209	4	0	0
187	0.21	4	0	0
188	0.211	4	0	0
189	0.212	4	0	0
190	0.214	4	0	0
191	0.215	4	0	0
192	0.216	4	0	0
193	0.217	4	0	0
194	0.218	4	0	0
195	0.219	4	0	0
196	0.22	4	0	0
197	0.221	4	0	0
198	0.223	4	0	0
199	0.224	4	0	0
200	0.225	4	0	0
201	0.226	4	0	0
202	0.227	4	0	0
203	0.228	4	0	0
204	0.229	4	0	0
205	0.231	4	0	0
206	0.232	4	0	0
207	0.233	4	0	0
208	0.234	4	0	0
209	0.235	4	0	0
210	0.236	4	0	0
211	0.237	4	0	0
212	0.238	4	0	0
213	0.24	4	0	0
214	0.241	4	0	0
215	0.242	4	0	0
216	0.243	4	0	0
217	0.244	4	0	0
218	0.245	4	0	0
219	0.246	4	0	0
220	0.247	4	0	0
221	0.249	4	0	0
222	0.25	4	0	0
223	0.251	4	0	0
224	0.252	4	0	0
225	0.253	4	0	0
226	0.254	4	0	0
227	0.255	4	0	0
228	0.256	4	0	0
229	0.258	4	0	0
230	0.259	4	0	0
231	0.26	4	0	0
232	0.261	4	0	0
233	0.262	4	0	0
234	0.263	4	0	0
235	0.264	4	0	0
236	0.265	4	0	0
237	0.267	4	0	0
238	0.268	4	0	0
239	0.269	4	0	0
240	0.27	4	0	0
241	0.271	4	0	0
242	0.272	4	0	0
243	0.273	4	0	0
244	0.274	4	0	0
245	0.276	4	0	0
246	0.277	4	0	0
247	0.278	4	0	0
248	0.279	4	0	0
249	0.28	4	0	0
250	0.281	4	0	0
251	0.282	4	0	0
252	0.283	4	0	0
253	0.285	4	0	0
254	0.286	4	0	0
255	0.287	4	0	0
256	0.288	4	0	0
257	0.289	4	0	0
258	0.29	4	0	0
259	0.291	4	0	0
260	0.292	4	0	0
261	0.294	4	0	0
262	0.295	4	0	0
263	0.296	4	0	0
264	0.297	4	0	0
265	0.298	4	0	0
266	0.299	4	0	0
267	0.3	4	0	0
268	0.302	4	0	0
269	0.303	4	0	0
270	0.304	4	0	0
271	0.305	4	0	0
272	0.306	4	0	0
273	0.307	4	0	0
274	0.308	4	0	0
275	0.309	4	0	0
276	0.311	4	0	0
277	0.312	4	0	0
278	0.313	4	0	0
279	0.314	4	0	0
280	0.315	4	0	0
281	0.316	4	0	0
282	0.317	4	0	0
283	0.318	4	0	0
284	0.32	4	0	0
285	0.321	4	0	0
286	0.322	4	0	0
287	0.323	4	0	0
288	0.324	4	0	0
289	0.325	4	0	0
290	0.326	4	0	0
291	0.327	4	0	0
292	0.329	4	0	0
293	0.33	4	0	0
294	0.331	4	0	0
295	0.332	4	0	0
296	0.333	4	0	0
297	0.334	4	0	0
298	0.335	4	0	0
299	0.336	4	0	0
300	0.338	4	0	0
301	0.339	4	0	0
302	0.34	4	0	0
303	0.341	4	0	0
304	0.342	4	0	0
305	0.343	4	0	0
306	0.344	4	0	0
307	0.345	4	0	0
308	0.347	4	0	0
309	0.348	4	0	0
310	0.349	4	0	0
311	0.35	4	0	0
312	0.351	4	0	0
313	0.352	4	0	0
314	0.353	4	0	0
315	0.354	4	0	0
316	0.356	4	0	0
317	0.357	4	-1	0
318	0.358	4	-1	0
319	0.359	4	-1	0
320	0.36	4	-1	0
321	0.361	4	-1	0
322	0.362	4	-1	0
323	0.363	4	-1	0
324	0.365	4	-1	0
325	0.366	4	-1	0
326	0.367	4	-1	0
327	0.368	4	-1	0
328	0.369	4	-1	0
329	0.37	4	-1	0
330	0.371	4	-1	0
331	0.372	4	-1	0
332	0.374	4	-1	0
333	0.375	4	-1	0
