Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	-1	-2	0
2	0.002	-1	-2	0
3	0.003	-1	-2	0
4	0.004	-1	-2	0
5	0.005	-1	-2	0
6	0.006	-1	-2	0
7	0.007	-1	-2	0
8	0.009	-1	-2	0
9	0.01	-1	-2	0
10	0.011	-1	-2	0
11	0.012	-1	-2	0
12	0.013	-1	-2	0
13	0.014	-1	-2	0
14	0.015	-1	-2	0
15	0.016	-1	-2	0
16	0.018	-1	-2	0
17	0.019	-1	-2	0
18	0.02	-1	-2	0
19	0.021	-1	-2	0
20	0.022	-1	-2	0
21	0.023	-1	-2	0
22	0.024	-1	-2	0
23	0.025	-1	-2	0
24	0.027	-1	-2	0
25	0.028	-1	-2	0
26	0.029	-1	-2	0
27	0.03	-1	-2	0
28	0.031	-1	-2	0
29	0.032	-1	-2	0
30	0.033	-1	-2	0
31	0.034	-1	-2	0
32	0.036	-1	-2	0
33	0.037	-1	-2	0
34	0.038	-1	-2	0
35	0.039	-1	-2	0
36	0.04	-1	-2	0
37	0.041	-1	-2	0
38	0.042	-1	-2	0
39	0.043	-1	-2	0
40	0.045	-1	-2	0
41	0.046	-1	-2	0
42	0.047	-1	-2	0
43	0.048	-1	-2	0
44	0.049	-1	-2	0
45	0.05	-1	-2	0
46	0.051	-1	-2	0
47	0.052	-1	-2	0
48	0.054	-1	-2	0
49	0.055	-1	-2	0
50	0.056	-1	-2	0
51	0.057	-1	-2	0
52	0.058	-1	-2	0
53	0.059	-1	-2	0
54	0.06	-1	-2	0
55	0.061	-1	-2	0
56	0.063	-1	-2	0
57	0.064	-1	-2	0
58	0.065	-1	-2	0
59	0.066	-1	-2	0
60	0.067	-1	-2	0
61	0.068	-1	-2	0
62	0.069	-1	-2	0
63	0.071	-1	-2	0
64	0.072	-1	-2	0
65	0.073	-1	-2	0
66	0.074	-1	-2	0
67	0.075	-1	-2	0
68	0.076	-1	-2	0
69	0.077	-1	-2	0
70	0.078	-1	-2	0
71	0.08	-1	-2	0
72	0.081	-1	-2	0
73	0.082	-1	-2	0
74	0.083	-1	-2	0
75	0.084	-1	-2	0
76	0.085	-1	-2	0
77	0.086	-1	-2	0
78	0.087	-1	-2	0
79	0.089	-1	-2	0
80	0.09	-1	-2	0
81	0.091	-1	-2	0
82	0.092	-1	-2	0
83	0.093	-1	-2	0
84	0.094	-1	-2	0
85	0.095	-1	-2	0
86	0.096	-1	-2	0
87	0.098	-1	-2	0
88	0.099	-1	-2	0
89	0.1	-1	-2	0
90	0.101	-1	-2	0
91	0.102	-1	-2	0
92	0.103	-1	-2	0
93	0.104	-1	-2	0
94	0.105	-1	-2	0
95	0.107	-1	-2	0
96	0.108	-1	-2	0
97	0.109	-1	-2	0
98	0.11	-1	-2	0
99	0.111	-1	-2	0
100	0.112	-1	-2	0
101	0.113	-1	-2	0
102	0.114	-2	-2	0
103	0.116	-2	-2	0
104	0.117	-2	-2	0
105	0.118	-2	-2	0
106	0.119	-2	-2	0
107	0.12	-2	-2	0
108	0.121	-2	-2	0
109	0.122	-2	-2	0
110	0.123	-2	-2	0
111	0.125	-2	-2	0
112	0.126	-2	-2	0
113	0.127	-2	-2	0
114	0.128	-2	-2	0
115	0.129	-2	-2	0
116	0.13	-2	-2	0
117	0.131	-2	-2	0
118	0.132	-2	-2	0
119	0.134	-2	-2	0
120	0.135	-2	-2	0
121	0.136	-2	-2	0
122	0.137	-2	-2	0
123	0.138	-2	-2	0
124	0.139	-2	-2	0
125	0.14	-2	-2	0
126	0.142	-2	-2	0
127	0.143	-2	-2	0
128	0.144	-2	-2	0
129	0.145	-2	-2	0
130	0.146	-2	-2	0
131	0.147	-2	-2	0
132	0.148	-2	-2	0
133	0.149	-2	-2	0
134	0.151	-2	-2	0
135	0.152	-2	-2	0
136	0.153	-2	-2	0
137	0.154	-2	-2	0
138	0.155	-2	-2	0
139	0.156	-2	-2	0
140	0.157	-2	-2	0
141	0.158	-2	-2	0
142	0.16	-2	-2	0
143	0.161	-2	-2	0
144	0.162	-2	-2	0
145	0.163	-2	-2	0
146	0.164	-2	-2	0
147	0.165	-2	-2	0
148	0.166	-2	-2	0
149	0.167	-2	-2	0
150	0.169	-2	-2	0
151	0.17	-2	-2	0
152	0.171	-2	-2	0
153	0.172	-2	-2	0
154	0.173	-2	-2	0
155	0.174	-2	-2	0
156	0.175	-2	-2	0
157	0.176	-2	-2	0
158	0.178	-2	-2	0
159	0.179	-2	-2	0
160	0.18	-2	-2	0
161	0.181	-2	-2	0
162	0.182	-2	-2	0
163	0.183	-2	-2	0
164	0.184	-2	-2	0
165	0.185	-2	-2	0
166	0.187	-2	-2	0
167	0.188	-2	-2	0
168	0.189	-2	-2	0
169	0.19	-2	-2	0
170	0.191	-3	-2	0
171	0.192	-3	-2	0
172	0.193	-3	-2	0
173	0.194	-3	-2	0
174	0.196	-3	-2	0
175	0.197	-3	-2	0
176	0.198	-3	-2	0
177	0.199	-3	-2	0
178	0.2	-3	-2	0
179	0.201	-3	-2	0
180	0.202	-3	-2	0
181	0.203	-3	-2	0
182	0.205	-3	-2	0
183	0.206	-3	-2	0
184	0.207	-3	-2	0
185	0.208	-3	-2	0
186	0.209	-3	-2	0
187	0.21	-3	-2	0
188	0.211	-3	-2	0
189	0.213	-4	-2	0
190	0.214	-4	-2	0
191	0.215	-4	-2	0
192	0.216	-4	-2	0
193	0.217	-4	-2	0
194	0.218	-4	-2	0
195	0.219	-4	-2	0
196	0.22	-4	-2	0
197	0.222	-4	-2	0
198	0.223	-4	-2	0
199	0.224	-4	-2	0
200	0.225	-4	-2	0
201	0.226	-4	-2	0
202	0.227	-4	-2	0
203	0.228	-4	-2	0
204	0.229	-4	-2	0
205	0.231	-4	-2	0
206	0.232	-4	-2	0
