Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	5	0	0
2	0.002	5	0	0
3	0.003	5	0	0
4	0.004	5	0	0
5	0.005	5	0	0
6	0.006	5	0	0
7	0.007	5	0	0
8	0.009	5	0	0
9	0.01	5	0	0
10	0.011	5	0	0
11	0.012	5	0	0
12	0.013	5	0	0
13	0.014	5	0	0
14	0.015	5	0	0
15	0.016	5	0	0
16	0.018	5	0	0
17	0.019	5	0	0
18	0.02	5	0	0
19	0.021	5	0	0
20	0.022	5	0	0
21	0.023	5	0	0
22	0.024	5	0	0
23	0.025	5	0	0
24	0.027	5	0	0
25	0.028	5	0	0
26	0.029	5	0	0
27	0.03	5	0	0
28	0.031	5	0	0
29	0.032	5	1	0
30	0.033	5	1	0
31	0.034	5	2	0
32	0.036	5	2	0
33	0.037	5	3	0
34	0.038	5	4	0
35	0.039	5	5	0
36	0.04	5	6	0
37	0.041	5	7	0
38	0.042	5	8	0
39	0.043	5	10	0
40	0.045	5	12	0
41	0.046	5	14	0
42	0.047	5	16	0
43	0.048	5	19	0
44	0.049	5	21	0
45	0.05	5	24	0
46	0.051	5	27	0
47	0.052	5	31	0
48	0.054	5	35	0
49	0.055	5	39	0
50	0.056	5	43	0
51	0.057	5	48	0
52	0.058	5	53	0
53	0.059	5	59	0
54	0.06	5	64	0
55	0.061	5	71	0
56	0.063	5	77	0
57	0.064	5	85	0
58	0.065	5	92	0
59	0.066	5	100	0
60	0.067	5	109	0
61	0.068	5	118	0
62	0.069	5	127	0
63	0.071	5	138	0
64	0.072	5	149	0
65	0.073	5	160	0
66	0.074	5	172	0
67	0.075	5	185	0
68	0.076	5	198	0
69	0.077	5	212	0
70	0.078	5	226	0
71	0.08	5	241	0
72	0.081	5	257	0
73	0.082	5	274	0
74	0.083	5	291	0
75	0.084	5	308	0
76	0.085	5	326	0
77	0.086	5	345	0
78	0.087	5	364	0
79	0.089	5	384	0
80	0.09	5	405	0
81	0.091	5	426	0
82	0.092	6	448	0
83	0.093	6	470	0
84	0.094	6	494	0
85	0.095	6	518	0
86	0.096	6	543	0
87	0.098	6	569	0
88	0.099	6	595	0
89	0.1	6	623	0
90	0.101	6	650	0
91	0.102	7	679	0
92	0.103	7	707	0
93	0.104	7	737	0
94	0.105	7	768	0
95	0.107	7	799	0
96	0.108	8	831	0
97	0.109	8	865	0
98	0.11	8	898	0
99	0.111	8	931	0
100	0.112	9	966	0
101	0.113	9	1002	0
102	0.114	9	1038	0
103	0.116	10	1074	0
104	0.117	10	1111	0
105	0.118	10	1149	0
106	0.119	11	1188	0
107	0.12	11	1228	0
108	0.121	11	1267	0
109	0.122	12	1306	0
110	0.123	12	1347	0
111	0.125	12	1388	0
112	0.126	13	1430	0
113	0.127	13	1474	0
114	0.128	14	1517	0
115	0.129	14	1561	0
116	0.13	14	1605	0
117	0.131	15	1648	0
118	0.132	15	1694	0
119	0.134	16	1740	0
120	0.135	16	1786	0
121	0.136	17	1833	0
122	0.137	17	1878	0
123	0.138	18	1926	0
124	0.139	18	1974	0
125	0.14	19	2023	0
126	0.142	19	2072	0
127	0.143	20	2121	0
128	0.144	20	2170	0
129	0.145	20	2219	0
130	0.146	21	2269	0
131	0.147	21	2318	0
132	0.148	22	2367	0
133	0.149	22	2416	0
134	0.151	23	2466	0
135	0.152	23	2516	0
136	0.153	23	2565	0
137	0.154	24	2616	0
138	0.155	24	2668	0
139	0.156	25	2718	0
140	0.157	25	2767	0
141	0.158	26	2816	0
142	0.16	26	2867	0
143	0.161	27	2917	0
144	0.162	27	2966	0
145	0.163	28	3015	0
146	0.164	28	3064	0
147	0.165	28	3112	0
148	0.166	29	3161	0
149	0.167	30	3210	0
150	0.169	30	3259	0
151	0.17	31	3306	0
152	0.171	31	3353	0
153	0.172	32	3399	0
154	0.173	32	3446	0
155	0.174	33	3493	0
156	0.175	34	3539	0
157	0.176	34	3584	0
158	0.178	35	3628	0
159	0.179	35	3671	0
160	0.18	36	3716	0
161	0.181	36	3758	0
162	0.182	37	3799	0
163	0.183	38	3840	0
164	0.184	38	3881	0
165	0.185	39	3920	0
166	0.187	39	3959	0
167	0.188	40	3996	0
168	0.189	40	4033	0
169	0.19	41	4068	0
170	0.191	41	4103	0
171	0.192	42	4136	0
172	0.193	43	4168	0
173	0.194	43	4199	0
174	0.196	43	4230	0
175	0.197	44	4259	0
176	0.198	44	4287	0
177	0.199	45	4315	0
178	0.2	45	4341	0
179	0.201	46	4366	0
180	0.202	46	4389	0
181	0.203	47	4411	0
182	0.205	47	4432	0
183	0.206	47	4451	0
184	0.207	48	4470	0
185	0.208	48	4487	0
186	0.209	48	4503	0
187	0.21	49	4518	0
188	0.211	49	4531	0
189	0.213	50	4543	0
190	0.214	50	4553	0
191	0.215	51	4562	0
192	0.216	51	4570	0
193	0.217	51	4576	0
194	0.218	51	4581	0
195	0.219	52	4585	0
196	0.22	52	4587	0
197	0.222	52	4587	0
198	0.223	52	4587	0
199	0.224	52	4587	0
200	0.225	53	4583	0
201	0.226	53	4578	0
202	0.227	53	4572	0
203	0.228	53	4564	0
204	0.229	53	4555	0
205	0.231	54	4544	0
206	0.232	54	4532	0
207	0.233	54	4519	0
208	0.234	54	4504	0
209	0.235	54	4488	0
210	0.236	54	4470	0
211	0.237	54	4451	0
212	0.238	54	4431	0
213	0.24	54	4410	0
214	0.241	54	4387	0
215	0.242	54	4363	0
216	0.243	54	4338	0
217	0.244	54	4311	0
218	0.245	54	4283	0
219	0.246	54	4253	0
220	0.247	54	4222	0
221	0.249	54	4191	0
222	0.25	54	4157	0
223	0.251	54	4123	0
224	0.252	54	4087	0
225	0.253	54	4050	0
226	0.254	54	4012	0
227	0.255	54	3973	0
228	0.256	54	3932	0
229	0.258	54	3890	0
230	0.259	54	3846	0
231	0.26	54	3802	0
232	0.261	54	3757	0
233	0.262	53	3710	0
234	0.263	53	3663	0
235	0.264	53	3614	0
236	0.265	53	3563	0
237	0.267	52	3513	0
238	0.268	52	3462	0
239	0.269	52	3408	0
240	0.27	51	3355	0
241	0.271	51	3299	0
242	0.272	51	3244	0
243	0.273	50	3187	0
244	0.275	50	3130	0
245	0.276	50	3071	0
246	0.277	49	3012	0
247	0.278	49	2952	0
248	0.279	49	2891	0
249	0.28	49	2830	0
250	0.281	48	2768	0
251	0.282	48	2704	0
252	0.284	48	2640	0
253	0.285	47	2576	0
254	0.286	47	2510	0
255	0.287	46	2445	0
256	0.288	46	2377	0
257	0.289	46	2309	0
258	0.29	45	2242	0
259	0.291	45	2173	0
260	0.293	45	2102	0
261	0.294	44	2031	0
262	0.295	44	1961	0
263	0.296	43	1890	0
264	0.297	43	1816	0
265	0.298	42	1744	0
266	0.299	42	1672	0
267	0.3	41	1597	0
268	0.302	41	1523	0
269	0.303	41	1451	0
270	0.304	40	1375	0
271	0.305	40	1300	0
272	0.306	39	1226	0
273	0.307	38	1152	0
274	0.308	38	1077	0
275	0.309	37	1001	0
276	0.311	37	925	0
277	0.312	36	851	0
278	0.313	35	775	0
279	0.314	35	699	0
280	0.315	34	623	0
281	0.316	33	547	0
282	0.317	33	471	0
283	0.318	32	395	0
284	0.32	31	317	0
285	0.321	30	241	0
286	0.322	30	163	0
287	0.323	29	84	0
288	0.324	28	6	0
289	0.325	27	-68	0
290	0.326	26	-145	0
291	0.327	25	-221	0
292	0.329	25	-296	0
293	0.33	24	-372	0
294	0.331	23	-447	0
295	0.332	22	-523	0
296	0.333	21	-598	0
297	0.334	21	-671	0
298	0.335	20	-746	0
299	0.337	19	-819	0
300	0.338	18	-893	0
301	0.339	17	-966	0
302	0.34	17	-1038	0
303	0.341	16	-1110	0
304	0.342	15	-1182	0
305	0.343	14	-1253	0
306	0.344	14	-1324	0
307	0.346	13	-1395	0
308	0.347	12	-1465	0
309	0.348	12	-1535	0
310	0.349	11	-1603	0
311	0.35	10	-1671	0
312	0.351	9	-1740	0
313	0.352	9	-1807	0
314	0.353	8	-1872	0
315	0.355	8	-1939	0
316	0.356	7	-2004	0
317	0.357	6	-2067	0
318	0.358	6	-2131	0
319	0.359	5	-2194	0
320	0.36	5	-2255	0
321	0.361	4	-2316	0
322	0.362	4	-2377	0
323	0.364	3	-2436	0
324	0.365	3	-2494	0
325	0.366	2	-2552	0
326	0.367	2	-2608	0
327	0.368	1	-2664	0
328	0.369	1	-2719	0
329	0.37	1	-2772	0
330	0.371	0	-2826	0
331	0.373	0	-2879	0
332	0.374	0	-2929	0
333	0.375	-1	-2978	0
